bellowing 111100110
belly 111100011
belmont 0100100110001110111101
beloved 111100000
below 1110010
bend 11000
beneath 111100100
bereft 111100000
beseech 1101011000111000011001
beset 111100110
beshrew 111100000
besides 11001111000010011000
besmear 111100110
bespeak 1110111
best 1011100011010100111000011000
best-conditiond 111100000
best-esteemd 11010
best-regarded 11001
bestow 11010
bestowd 110101110101
bestows 111100110
bethink 100101
betimes 1110111
better 100100100100110001101010110011000100101
bettered 111100100
between 110001011110010100101101
beware 111100001
bid 10111010100111000011000100101
bidding 1110001
bids 1101011000
big 1110100
bind 1110001
bird 1110111
birth 1110011
black-monday 1110001
blame 11110001111000
bleared 111100000
bleat 111100100
bleed 111011111010
blent 111100000
bless 110101110011
blessed 111100110
blesseth 111100100
blessing 11000101111001111000
blest 11000100111100000
blind 11001100110011110101
blinking 1110101
bliss 111010111000
blood 100100101100100111000110011001101
bloods 1110111
bloody 11110000111000
blotted 111100000
blow 100
blunt 1110011
blush 1110010
boards 11000
body 101100111010111001101
bold 110101101011010
boldest 11010
bon 101
bond 1100011100011100010010011000
bondmans 11000
bonds 1110010
bone 101
bones 111100100
bonnet 101
book 11010
books 111100100
bootless 111100001
born 10011000
borne 11000
borrow 11000
borrowd 1110001
borrowed 101
bosom 111100010101
bosoms 111100100
both 100110011110010100101100100101
bottom 100
bought 10111000111001111001
bound 11000111100001101
bounds 111100110
bounty 111100010
bow 111100000
box 101
boy 11010110001001101110111001
boy-- 11010
boys 1110010101
braggart 111100000
bragging 111100010
brain 101
branches 11010
brassy 111100100
brave 11010
braver 111100010
break 1100011001111000010011011
breast 111100100
breath 11000111001011000
breathed 111100010
breathing 11101111110000
bred 110011110100
breed 11000
breeders 11000
breeding 1110011
bridegrooms 111100000
brief 110101110111
bright 111100110
brightly 111100110
bring 1001011001110100101101101
bringeth 1110101
brings 1011001110101
brook 11100111110100
broth 100
brothers 100
brought 11010
brow 11110000011001
brutus 100
budge 11010
builds 1110101
burghers 100
burial 100
buried 1110111
burning 111100110
burnishd 11001
burthens 111100100
bushels 100
business 100110011101111001
but 100100100100100100100100100100100100101100100100100100100100
buy 100101
